id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
2.524 0.16 0.0566071 75 0.2033 0.104 0.006
2.47 0.165 0.0534616 101.1 0.3106 0.1677 0.0228
2.485 0.165 0.0569444 123.1 0.1218 0.1298 0.0035
2.495 0.164 0.0550807 146 -0.0323 0.1284 0.0009
2.511 0.165 0.0583624 169.2 0.0196 0.1172 0.0006
2.49 0.163 0.0542093 190.3 -0.0988 0.1101 0.0086
2.479 0.165 0.0537262 213.5 0.0716 0.1388 0.0021
2.481 0.165 0.0522727 234.2 -0.1993 0.2324 0.0057
2.463 0.164 0.05 258.1 -0.1346 0.2698 0.0069
2.509 0.158 0.0548077 284.9 -0.2152 0.0894 0.0073
2.511 0.16 0.0558861 305.8 -0.1419 0.0477 0.0052
2.509 0.161 0.0560274 327 -0.0815 0.0336 0.0061
2.508 0.162 0.0558633 349.3 -0.06 0.0296 0.0041
2.506 0.159 0.0329762 12 0.0359 0.0719 0.0459
2.51 0.159 0.0326303 32.5 0.202 0.0767 0.0321
2.506 0.158 0.0321875 55 0.1385 0.1955 0.1186
2.508 0.157 0.0316197 77.7 0.2723 0.1315 0.0633
2.513 0.156 0.0283333 101.6 -0.4251 0.2287 0.0857
2.623 0.161 0.0333333 120.7 0.3695 0.429 0.0931
2.531 0.156 0.027 169.4 -0.7012 0.4095 0.0899
2.502 0.156 0.025 197.1 0.4359 0.6715 0.0434
2.571 0.158 0.029 214.2 -0.228 0.4953 0.1385
2.545 0.156 0.0292857 235.7 -0.1606 0.4199 0.0803
2.513 0.156 0.0285714 260.4 -0.2505 0.2104 0.0697
2.512 0.157 0.0314384 282.9 0.112 0.1331 0.0472
